Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Nicaragua,<1000 [<500 - 1300],<1000 [<1000 - 1400],<1000 [<1000 - 1600],1100 [<1000 - 1700],1200 [<1000 - 1900],1200 [<1000 - 1900],1300 [<1000 - 2000],1300 [<1000 - 2000],1200 [<1000 - 1900],1000 [<1000 - 1700],<1000 [<1000 - 1500],<1000 [<1000 - 1400],<1000 [<500 - 1300],<1000 [<500 - 1200],<1000 [<500 - 1100],<1000 [<500 - 1000],<1000 [<500 - <1000],<1000 [<500 - <1000],<1000 [<500 - <1000],<1000 [<500 - <1000],<1000 [<500 - <1000],<1000 [<500 - 1000],<1000 [<500 - 1000],<1000 [<500 - 1100],<1000 [<500 - 1200]
Niger,2700 [2100 - 3300],3500 [2800 - 4300],4500 [3600 - 5500],5500 [4500 - 6600],6600 [5500 - 8000],7600 [6300 - 9000],8400 [7100 - 9900],9100 [7800 - 11 000],9400 [8200 - 11 000],9600 [8400 - 11 000],9400 [8200 - 11 000],8900 [7700 - 10 000],8100 [7100 - 9200],7100 [6200 - 8300],6100 [5300 - 7000],5000 [4400 - 5800],4100 [3500 - 4700],3300 [2900 - 3800],2900 [2500 - 3400],2500 [2200 - 3000],1900 [1600 - 2300],1900 [1600 - 2300],1800 [1500 - 2100],1700 [1400 - 2000],1300 [1100 - 1600]
Nigeria,130 000 [93 000 - 190 000],160 000 [110 000 - 220 000],190 000 [130 000 - 250 000],210 000 [150 000 - 280 000],240 000 [170 000 - 300 000],270 000 [200 000 - 320 000],300 000 [220 000 - 340 000],320 000 [250 000 - 350 000],320 000 [280 000 - 360 000],330 000 [290 000 - 360 000],330 000 [290 000 - 360 000],330 000 [290 000 - 350 000],320 000 [290 000 - 350 000],320 000 [290 000 - 340 000],310 000 [290 000 - 340 000],310 000 [290 000 - 340 000],300 000 [280 000 - 330 000],290 000 [270 000 - 320 000],290 000 [260 000 - 310 000],280 000 [250 000 - 300 000],270 000 [250 000 - 300 000],260 000 [240 000 - 290 000],250 000 [230 000 - 280 000],240 000 [210 000 - 270 000],230 000 [200 000 - 260 000]
Norway,,,,,,,,,,,,,,,,,,,,,,,,,<500 [<200 - <1000]
Oman,<100 [<100 - <100],<100 [<100 - <200],<100 [<100 - <200],<100 [<100 - <200],<100 [<100 - <200],<100 [<100 - <200],<100 [<100 - <200],<100 [<100 - <200],<100 [<100 - <200],<200 [<100 - <200],<200 [<100 - <200],<200 [<100 - <200],<200 [<100 - <200],<200 [<100 - <200],<200 [<100 - <200],<200 [<100 - <200],<200 [<100 - <200],<200 [<100 - <200],<200 [<200 - <200],<200 [<200 - <200],<200 [<200 - <500],<200 [<200 - <500],<200 [<200 - <500],<200 [<200 - <500],<200 [<200 - <500]
Pakistan,,,,,,,,,,,,,,,,,,,,,,,,,20 000 [9700 - 50 000]
Panama,<500 [<200 - <1000],<500 [<500 - <1000],<1000 [<500 - <1000],<1000 [<1000 - 1300],1500 [1100 - 1900],2000 [1500 - 2500],2400 [1900 - 3100],2700 [2000 - 3500],2800 [2100 - 3500],2600 [2000 - 3400],2300 [1700 - 3000],1700 [1300 - 2200],1300 [<1000 - 1700],<1000 [<1000 - 1400],<1000 [<500 - 1000],<1000 [<500 - <1000],<500 [<500 - <1000],<500 [<500 - <1000],<500 [<500 - <1000],<500 [<500 - <1000],<500 [<500 - <1000],<1000 [<500 - <1000],<1000 [<500 - <1000],<1000 [<500 - <1000],<1000 [<500 - 1000]
Papua New Guinea,<1000 [<500 - 1000],<1000 [<500 - 1500],1300 [<1000 - 2100],1800 [1100 - 2700],2300 [1500 - 3200],2900 [2100 - 3700],3400 [2700 - 4200],3800 [3200 - 4500],4200 [3600 - 4800],4400 [3900 - 5000],4800 [4300 - 5500],4500 [4000 - 5100],4200 [3800 - 4800],3700 [3300 - 4200],3300 [2900 - 3700],2900 [2600 - 3200],2500 [2200 - 2800],2200 [2000 - 2500],2000 [1800 - 2300],1900 [1700 - 2200],1900 [1600 - 2200],1900 [1600 - 2300],2000 [1600 - 2400],2000 [1600 - 2400],2000 [1500 - 2500]
Paraguay,,,,,,,,,,,,,,,,,,,,,,,,,1900 [<1000 - 4700]
Peru,,,,,,,,,,,,,,,,,,,,,,,,,2300 [1500 - 3800]
Philippines,,,,,,,,,,,,,,,,,,,,,,,,,6400 [1500 - 12 000]
Poland,,,,,,,,,,,,,,,,,,,,,,,,,<1000 [<500 - 1800]
Republic of Moldova,<200 [<100 - <1000],<500 [<200 - <1000],<500 [<500 - 1200],<1000 [<500 - 1100],<1000 [<1000 - 1100],<1000 [<1000 - 1200],1100 [<1000 - 1400],1300 [1100 - 1500],1400 [1200 - 1600],1400 [1200 - 1700],1400 [1300 - 1700],1400 [1200 - 1700],1400 [1200 - 1700],1500 [1200 - 1800],1500 [1300 - 1800],1500 [1300 - 1900],1600 [1400 - 2000],1700 [1400 - 2000],1700 [1500 - 2100],1800 [1500 - 2100],1800 [1500 - 2200],1800 [1500 - 2100],1700 [1500 - 2100],1700 [1400 - 2000],1600 [1300 - 2000]
Russian Federation,,,,,,,,,,,,,,,,,,,,,,,,,110 000 [96 000 - 120 000]
Rwanda,32 000 [27 000 - 37 000],32 000 [28 000 - 38 000],31 000 [27 000 - 37 000],29 000 [25 000 - 34 000],27 000 [23 000 - 31 000],25 000 [22 000 - 29 000],24 000 [22 000 - 27 000],23 000 [21 000 - 26 000],22 000 [19 000 - 24 000],20 000 [18 000 - 22 000],18 000 [16 000 - 21 000],16 000 [14 000 - 18 000],15 000 [13 000 - 17 000],14 000 [12 000 - 15 000],12 000 [11 000 - 14 000],11 000 [9800 - 13 000],10 000 [8900 - 12 000],9300 [7900 - 11 000],8600 [7100 - 10 000],8200 [6700 - 9800],7900 [6200 - 9600],6500 [4900 - 8300],6400 [4400 - 9100],6300 [4400 - 8400],6200 [4300 - 8200]
Sao Tome and Principe,<200 [<100 - <1000],<500 [<100 - 1800],<500 [<100 - <1000],<200 [<100 - <500],<200 [<100 - <500],<200 [<100 - <200],<200 [<100 - <200],<200 [<100 - <200],<200 [<200 - <500],<200 [<200 - <500],<200 [<200 - <500],<200 [<200 - <500],<200 [<200 - <200],<200 [<100 - <200],<200 [<100 - <200],<100 [<100 - <200],<100 [<100 - <100],<100 [<100 - <100],<100 [<100 - <100],<100 [<100 - <100],<100 [<100 - <100],<100 [<100 - <100],<100 [<100 - <100],<100 [<100 - <100],<100 [<100 - <100]
Senegal,1100 [<1000 - 1500],1300 [1000 - 1800],1700 [1300 - 2200],2000 [1600 - 2600],2500 [2000 - 3200],3200 [2500 - 4000],3900 [3100 - 4900],4800 [3900 - 5800],5600 [4600 - 6800],6400 [5300 - 7800],6800 [5700 - 8300],7200 [6000 - 8700],6900 [5800 - 8400],6400 [5300 - 7800],5600 [4600 - 6700],4600 [3900 - 5600],3600 [3000 - 4500],2700 [2100 - 3400],1900 [1300 - 2500],1400 [<1000 - 1900],1100 [<1000 - 1600],1200 [<1000 - 1900],1200 [<1000 - 1900],1100 [<1000 - 1800],1000 [<1000 - 1700]
Sierra Leone,<200 [<100 - <500],<500 [<200 - <1000],<1000 [<500 - 1100],<1000 [<500 - 1600],1400 [<1000 - 2300],2000 [1100 - 3000],2700 [1700 - 3800],3400 [2400 - 4500],4200 [3200 - 5200],4900 [4000 - 5900],5700 [4700 - 6800],6200 [5300 - 7400],6700 [5800 - 8100],7000 [6000 - 8300],7000 [5900 - 8300],6600 [5600 - 7900],6000 [5100 - 7100],5300 [4600 - 6300],4600 [3900 - 5400],4100 [3400 - 4900],3700 [2900 - 4500],3400 [2500 - 4200],3000 [2200 - 3900],3000 [2100 - 3900],2600 [1700 - 3500]
Slovakia,,,,,,,,,,,,,,,,,,,,,,,,,<100 [<100 - <200]
Slovenia,,,,,,,,,,,,,,,,,,,,,,,,,<100 [<100 - <200]
Somalia,1200 [<200 - 4800],1700 [<500 - 6000],2200 [<500 - 5900],2600 [<1000 - 6600],3100 [1100 - 7700],3500 [1600 - 7400],3800 [2000 - 7100],4100 [2400 - 7300],4200 [2500 - 7300],4200 [2700 - 7000],3800 [2600 - 6000],3700 [2500 - 5400],3600 [2500 - 5200],3500 [2400 - 5000],3400 [2500 - 4900],3300 [2400 - 4700],3300 [2500 - 4700],3300 [2400 - 4600],3200 [2400 - 4400],3200 [2300 - 4400],3200 [2200 - 4500],3200 [2200 - 4500],3200 [2000 - 4600],3000 [1800 - 4400],3300 [1800 - 4900]
South Africa,55 000 [49 000 - 62 000],110 000 [100 000 - 130 000],210 000 [190 000 - 230 000],330 000 [300 000 - 370 000],470 000 [420 000 - 520 000],580 000 [530 000 - 640 000],660 000 [610 000 - 720 000],690 000 [640 000 - 760 000],680 000 [640 000 - 750 000],650 000 [610 000 - 690 000],600 000 [570 000 - 650 000],570 000 [530 000 - 610 000],550 000 [510 000 - 580 000],530 000 [490 000 - 560 000],510 000 [480 000 - 550 000],490 000 [460 000 - 530 000],480 000 [450 000 - 520 000],480 000 [450 000 - 510 000],480 000 [450 000 - 510 000],440 000 [410 000 - 480 000],420 000 [390 000 - 460 000],410 000 [380 000 - 440 000],390 000 [360 000 - 420 000],350 000 [320 000 - 380 000],340 000 [310 000 - 370 000]
South Sudan,,,,,,,,,,,,,,,,,,,,,,,,,18 000 [8400 - 27 000]
Sri Lanka,<100 [<100 - <200],<100 [<100 - <500],<100 [<100 - <200],<100 [<100 - <500],<100 [<100 - <500],<100 [<100 - <500],<100 [<100 - <500],<100 [<100 - <500],<200 [<100 - <500],<200 [<100 - <500],<200 [<100 - <500],<200 [<100 - <200],<200 [<100 - <200],<200 [<200 - <500],<200 [<200 - <500],<500 [<200 - <500],<500 [<200 - <1000],<500 [<500 - <1000],<500 [<500 - <1000],<500 [<200 - <1000],<500 [<200 - <1000],<500 [<200 - <1000],<500 [<200 - <1000],<500 [<200 - <1000],<500 [<200 - <1000]
Sudan,,,,,,,,,,,,,,,,,,,,,,,,,5200 [2100 - 10 000]
Suriname,<200 [<100 - <1000],<200 [<100 - <1000],<500 [<200 - <1000],<500 [<200 - <500],<500 [<200 - <500],<500 [<200 - <500],<500 [<500 - <500],<500 [<500 - <500],<500 [<500 - <500],<500 [<500 - <500],<500 [<500 - <1000],<500 [<500 - <500],<500 [<500 - <500],<500 [<500 - <500],<500 [<500 - <500],<500 [<200 - <500],<500 [<200 - <500],<200 [<200 - <500],<200 [<200 - <500],<200 [<200 - <500],<200 [<200 - <500],<200 [<200 - <500],<200 [<200 - <500],<200 [<200 - <500],<200 [<200 - <500]
Swaziland,4100 [3400 - 4800],7100 [6000 - 8300],11 000 [9400 - 13 000],14 000 [13 000 - 16 000],17 000 [16 000 - 19 000],19 000 [17 000 - 21 000],20 000 [18 000 - 22 000],19 000 [18 000 - 21 000],19 000 [18 000 - 20 000],18 000 [17 000 - 19 000],17 000 [16 000 - 18 000],17 000 [16 000 - 18 000],16 000 [15 000 - 17 000],16 000 [15 000 - 17 000],16 000 [15 000 - 17 000],16 000 [15 000 - 16 000],15 000 [14 000 - 16 000],15 000 [14 000 - 15 000],14 000 [14 000 - 15 000],14 000 [13 000 - 14 000],14 000 [13 000 - 15 000],12 000 [11 000 - 14 000],12 000 [11 000 - 13 000],11 000 [9500 - 12 000],9600 [8300 - 11 000]
Sweden,,,,,,,,,,,,,,,,,,,,,,,,,<500 [<100 - <1000]
Syrian Arab Republic,,,,,,,,,,,,,,,,,,,,,,,,,<100 [<100 - <200]
Tajikistan,<200 [<100 - <500],<200 [<100 - <1000],<500 [<100 - 1100],<500 [<100 - 1500],<1000 [<100 - 1800],<1000 [<200 - 2100],1100 [<500 - 2200],1400 [<500 - 2400],1500 [<1000 - 2500],1500 [<1000 - 2400],1500 [<1000 - 2300],1300 [<1000 - 1900],1200 [<1000 - 1800],1100 [<1000 - 1700],1200 [<1000 - 1800],1200 [<1000 - 1800],1300 [<1000 - 1900],1400 [1100 - 1900],1500 [1100 - 1900],1600 [1200 - 2100],1700 [1300 - 2200],1700 [1300 - 2400],1800 [1200 - 2500],1700 [1100 - 2600],1700 [1100 - 2700]
Thailand,140 000 [130 000 - 180 000],150 000 [140 000 - 190 000],120 000 [85 000 - 140 000],98 000 [67 000 - 130 000],74 000 [48 000 - 97 000],57 000 [39 000 - 64 000],46 000 [41 000 - 61 000],39 000 [32 000 - 49 000],34 000 [31 000 - 47 000],30 000 [24 000 - 50 000],27 000 [22 000 - 44 000],24 000 [21 000 - 38 000],22 000 [21 000 - 36 000],19 000 [17 000 - 29 000],17 000 [13 000 - 26 000],15 000 [9700 - 18 000],14 000 [8800 - 18 000],13 000 [8500 - 17 000],12 000 [10 000 - 18 000],11 000 [7000 - 13 000],10 000 [4800 - 13 000],9700 [6100 - 19 000],8900 [5800 - 22 000],8300 [4500 - 16 000],7900 [3700 - 13 000]
Togo,5400 [4000 - 7100],6500 [4900 - 8500],7500 [5700 - 9700],8700 [6600 - 11 000],9900 [7600 - 13 000],11 000 [8800 - 14 000],12 000 [9600 - 16 000],13 000 [10 000 - 16 000],14 000 [11 000 - 17 000],14 000 [11 000 - 17 000],13 000 [10 000 - 16 000],12 000 [9800 - 15 000],12 000 [9400 - 14 000],11 000 [8800 - 13 000],10 000 [8400 - 12 000],9600 [7900 - 12 000],9100 [7500 - 11 000],8700 [7200 - 11 000],8100 [6600 - 10 000],7600 [6100 - 9400],6900 [5500 - 8700],5400 [4100 - 7100],5000 [3700 - 6600],4700 [3400 - 6200],4400 [3100 - 5900]
Tunisia,<100 [<100 - <200],<100 [<100 - <100],<100 [<100 - <100],<100 [<100 - <200],<100 [<100 - <200],<100 [<100 - <200],<100 [<100 - <200],<100 [<100 - <200],<100 [<100 - <200],<100 [<100 - <200],<100 [<100 - <200],<100 [<100 - <200],<100 [<100 - <200],<200 [<100 - <200],<200 [<100 - <500],<200 [<100 - <500],<200 [<100 - <500],<200 [<200 - <500],<500 [<200 - <500],<500 [<200 - <500],<500 [<200 - <500],<500 [<200 - <500],<500 [<200 - <500],<500 [<200 - <1000],<500 [<200 - <1000]
Uganda,150 000 [120 000 - 200 000],130 000 [90 000 - 180 000],110 000 [66 000 - 170 000],93 000 [66 000 - 160 000],79 000 [68 000 - 110 000],71 000 [63 000 - 82 000],66 000 [58 000 - 74 000],64 000 [57 000 - 73 000],65 000 [57 000 - 73 000],67 000 [60 000 - 76 000],70 000 [63 000 - 79 000],74 000 [66 000 - 82 000],80 000 [72 000 - 90 000],87 000 [78 000 - 97 000],94 000 [85 000 - 200 000],100 000 [46 000 - 210 000],110 000 [57 000 - 130 000],110 000 [100 000 - 130 000],120 000 [110 000 - 130 000],130 000 [110 000 - 140 000],140 000 [120 000 - 150 000],130 000 [110 000 - 150 000],110 000 [88 000 - 130 000],110 000 [83 000 - 140 000],100 000 [74 000 - 130 000]
United Republic of Tanzania,140 000 [120 000 - 160 000],150 000 [130 000 - 180 000],160 000 [140 000 - 180 000],160 000 [140 000 - 190 000],160 000 [140 000 - 190 000],160 000 [140 000 - 180 000],160 000 [140 000 - 180 000],160 000 [140 000 - 170 000],150 000 [140 000 - 170 000],150 000 [130 000 - 160 000],150 000 [130 000 - 160 000],140 000 [130 000 - 150 000],140 000 [130 000 - 150 000],140 000 [120 000 - 150 000],130 000 [120 000 - 140 000],130 000 [120 000 - 140 000],120 000 [110 000 - 130 000],110 000 [100 000 - 130 000],110 000 [96 000 - 120 000],100 000 [90 000 - 110 000],87 000 [76 000 - 100 000],82 000 [70 000 - 95 000],76 000 [65 000 - 90 000],68 000 [58 000 - 81 000],62 000 [51 000 - 75 000]
Uruguay,,,,,,,,,,,,,,,,,,,,,,,,,<1000 [<500 - <1000]
Uzbekistan,,,,,,,,,,,,,,,,,,,,,,,,,<500 [<500 - <1000]
Venezuela (Bolivarian Republic of),,,,,,,,,,,,,,,,,,,,,,,,,5500 [2400 - 9900]
Viet Nam,<200 [<200 - <500],<500 [<500 - <500],<1000 [<1000 - <1000],1700 [1500 - 1800],3400 [3100 - 3800],6600 [6000 - 7200],12 000 [10 000 - 13 000],17 000 [15 000 - 19 000],21 000 [19 000 - 23 000],24 000 [22 000 - 26 000],25 000 [23 000 - 28 000],27 000 [24 000 - 29 000],26 000 [24 000 - 29 000],27 000 [24 000 - 29 000],26 000 [24 000 - 29 000],26 000 [23 000 - 28 000],24 000 [21 000 - 26 000],21 000 [19 000 - 23 000],20 000 [18 000 - 22 000],19 000 [18 000 - 21 000],19 000 [17 000 - 20 000],18 000 [16 000 - 20 000],17 000 [15 000 - 19 000],16 000 [14 000 - 17 000],15 000 [13 000 - 16 000]
Yemen,,,,,,,,,,,,,,,,,,,,,,,,,<1000 [<500 - 1500]
Zambia,73 000 [66 000 - 79 000],73 000 [66 000 - 79 000],75 000 [68 000 - 81 000],77 000 [71 000 - 83 000],79 000 [73 000 - 85 000],82 000 [76 000 - 87 000],84 000 [79 000 - 89 000],86 000 [81 000 - 92 000],88 000 [82 000 - 93 000],89 000 [83 000 - 94 000],89 000 [83 000 - 94 000],88 000 [83 000 - 94 000],87 000 [82 000 - 92 000],86 000 [81 000 - 91 000],83 000 [79 000 - 88 000],80 000 [76 000 - 85 000],78 000 [73 000 - 82 000],73 000 [69 000 - 78 000],69 000 [65 000 - 74 000],65 000 [60 000 - 69 000],69 000 [64 000 - 74 000],67 000 [62 000 - 72 000],64 000 [59 000 - 69 000],59 000 [54 000 - 64 000],56 000 [51 000 - 62 000]
Zimbabwe,190 000 [180 000 - 200 000],230 000 [220 000 - 240 000],260 000 [240 000 - 270 000],270 000 [250 000 - 290 000],270 000 [250 000 - 280 000],260 000 [240 000 - 270 000],240 000 [220 000 - 250 000],210 000 [200 000 - 220 000],190 000 [180 000 - 200 000],170 000 [160 000 - 170 000],150 000 [140 000 - 150 000],130 000 [120 000 - 140 000],120 000 [110 000 - 130 000],110 000 [100 000 - 120 000],100 000 [98 000 - 110 000],98 000 [94 000 - 100 000],94 000 [90 000 - 99 000],92 000 [87 000 - 97 000],90 000 [85 000 - 95 000],88 000 [83 000 - 94 000],85 000 [79 000 - 90 000],81 000 [75 000 - 87 000],69 000 [64 000 - 75 000],65 000 [59 000 - 72 000],64 000 [57 000 - 71 000]
Global,2 000 000 [1 800 000 - 2 300 000],2 300 000 [2 100 000 - 2 500 000],2 500 000 [2 300 000 - 2 800 000],2 800 000 [2 500 000 - 3 100 000],3 100 000 [2 900 000 - 3 400 000],3 300 000 [3 100 000 - 3 500 000],3 400 000 [3 200 000 - 3 600 000],3 400 000 [3 200 000 - 3 600 000],3 400 000 [3 200 000 - 3 500 000],3 200 000 [3 100 000 - 3 400 000],3 100 000 [3 000 000 - 3 300 000],3 000 000 [2 900 000 - 3 200 000],2 900 000 [2 800 000 - 3 100 000],2 800 000 [2 700 000 - 3 000 000],2 700 000 [2 600 000 - 2 900 000],2 700 000 [2 500 000 - 2 800 000],2 600 000 [2 400 000 - 2 700 000],2 500 000 [2 400 000 - 2 700 000],2 400 000 [2 300 000 - 2 600 000],2 400 000 [2 200 000 - 2 500 000],2 300 000 [2 200 000 - 2 500 000],2 300 000 [2 100 000 - 2 400 000],2 200 000 [2 000 000 - 2 400 000],2 100 000 [1 900 000 - 2 300 000],2 000 000 [1 900 000 - 2 200 000]
